state,month,totalCovid,totalDeath,totalHospitalized
Puerto Rico,20-Jul,4304,66,0
Puerto Rico,20-Aug,9479,215,0
Puerto Rico,20-Sep,8524,227,0
Puerto Rico,20-Oct,10138,161,0
Puerto Rico,20-Nov,18407,284,0
Puerto Rico,20-Dec,23746,397,0
Rhode Island,20-Jan,26166,359,1673
Rhode Island,20-Feb,10729,346,721
Rhode Island,20-Mar,2911,41,120
Rhode Island,20-Apr,8448,258,896
Rhode Island,20-May,5972,452,805
Rhode Island,20-Jun,1923,232,300
Rhode Island,20-Jul,2111,57,210
Rhode Island,20-Aug,2927,41,308
Rhode Island,20-Sep,2799,66,263
Rhode Island,20-Oct,8660,90,576
Rhode Island,20-Nov,23315,169,1224
Rhode Island,20-Dec,32818,436,1924
South Carolina,20-Jan,135879,1746,3700
South Carolina,20-Feb,73437,1488,2297
South Carolina,20-Mar,10125,246,440
South Carolina,20-Apr,5012,222,898
South Carolina,20-May,5766,250,634
South Carolina,20-Jun,24538,245,1220
South Carolina,20-Jul,52617,973,2263
South Carolina,20-Aug,29976,1008,2694
South Carolina,20-Sep,28950,658,1349
South Carolina,20-Oct,28670,557,1340
South Carolina,20-Nov,40875,446,1377
South Carolina,20-Dec,90020,915,2513
South Dakota,20-Jan,9086,290,618
South Dakota,20-Feb,4177,110,336
South Dakota,20-Mar,1270,13,91
South Dakota,20-Apr,2341,16,161
South Dakota,20-May,2544,45,259
South Dakota,20-Jun,1771,29,234
South Dakota,20-Jul,2000,39,158
South Dakota,20-Aug,4745,37,205
South Dakota,20-Sep,8880,56,520
South Dakota,20-Oct,23603,202,1134
South Dakota,20-Nov,34472,521,1819
South Dakota,20-Dec,18700,542,1170
Tennessee,20-Jan,141059,2743,2589
Tennessee,20-Feb,47143,1761,1485
Tennessee,20-Mar,9440,155,440
Tennessee,20-Apr,8496,176,870
Tennessee,20-May,12271,165,705
Tennessee,20-Jun,20503,240,915
Tennessee,20-Jul,62450,456,1996
Tennessee,20-Aug,48974,694,2217
