"GeoName","Quarter","curDollarGDP"
"South Carolina","2020.Q4",248775.5
"South Dakota","2019.Q3",55502.2
"South Dakota","2019.Q4",56051.9
"South Dakota","2020.Q1",56071.7
"South Dakota","2020.Q2",50951.3
"South Dakota","2020.Q3",55243.2
"South Dakota","2020.Q4",57142.3
"Tennessee","2019.Q3",379183
"Tennessee","2019.Q4",380823
"Tennessee","2020.Q1",379453.8
"Tennessee","2020.Q2",333194.3
"Tennessee","2020.Q3",369062.8
"Tennessee","2020.Q4",376232.7
"Texas","2019.Q3",1850626.4
"Texas","2019.Q4",1861581.9
"Texas","2020.Q1",1818394.5
"Texas","2020.Q2",1628185
"Texas","2020.Q3",1772131.6
"Texas","2020.Q4",1820226.5
"Utah","2019.Q3",193976
"Utah","2019.Q4",196639.4
"Utah","2020.Q1",195594.4
"Utah","2020.Q2",182894.6
"Utah","2020.Q3",198630.2
"Utah","2020.Q4",202823.9
"Vermont","2019.Q3",34117.2
"Vermont","2019.Q4",34320.2
"Vermont","2020.Q1",34016.6
"Vermont","2020.Q2",30174.8
"Vermont","2020.Q3",33277.8
"Vermont","2020.Q4",33717.5
"Virginia","2019.Q3",560807.5
"Virginia","2019.Q4",566529.4
"Virginia","2020.Q1",562718
"Virginia","2020.Q2",519911.6
"Virginia","2020.Q3",557986.3
"Virginia","2020.Q4",566425.1
"Washington","2019.Q3",618623
"Washington","2019.Q4",624861.4
"Washington","2020.Q1",625120.6
"Washington","2020.Q2",579694.9
"Washington","2020.Q3",632013.5
"Washington","2020.Q4",637990.7
"West Virginia","2019.Q3",79078.5
"West Virginia","2019.Q4",78480.5
"West Virginia","2020.Q1",76366.3
"West Virginia","2020.Q2",68000.8
"West Virginia","2020.Q3",74510.9
"West Virginia","2020.Q4",75958.7
"Wisconsin","2019.Q3",350017.4
"Wisconsin","2019.Q4",353935.5
"Wisconsin","2020.Q1",348021
"Wisconsin","2020.Q2",314026.5
"Wisconsin","2020.Q3",344500
"Wisconsin","2020.Q4",348165.9
"Wyoming","2019.Q3",40500.8
"Wyoming","2019.Q4",40764.3
"Wyoming","2020.Q1",38680.2
"Wyoming","2020.Q2",33233.1
"Wyoming","2020.Q3",35999.5
"Wyoming","2020.Q4",37053.3
"New England","2019.Q3",1140932.3
"New England","2019.Q4",1147567.9
"New England","2020.Q1",1141524.2
"New England","2020.Q2",1035902.1
"New England","2020.Q3",1121716
"New England","2020.Q4",1137921.3
"Mideast","2019.Q3",3880373.6
"Mideast","2019.Q4",3909138.2
"Mideast","2020.Q1",3882625.2
"Mideast","2020.Q2",3493919.2
"Mideast","2020.Q3",3768023
"Mideast","2020.Q4",3815646.3
"Great Lakes","2019.Q3",2860720.4
"Great Lakes","2019.Q4",2879021
"Great Lakes","2020.Q1",2845796.9
"Great Lakes","2020.Q2",2567212.4
"Great Lakes","2020.Q3",2807752.2
"Great Lakes","2020.Q4",2842427.6
"Plains","2019.Q3",1332856.2
"Plains","2019.Q4",1343740.7
"Plains","2020.Q1",1334415.8
"Plains","2020.Q2",1208190.5
"Plains","2020.Q3",1315096
"Plains","2020.Q4",1341349.1
